Year,  Total Overdose Deaths,  Female,  Male, Any Opioid1,  Female,  Male, Prescription Opioids2,  Female,  Male, Prescription Opioids AND Synthetic Opioids other than Methadone,  Female,  Male, Prescription Opioids WITHOUT Synthetic Opioids other than Methadone,  Female,  Male, Synthetic Opioids other than Methadone (primarily fentanyl)3,  Female,  Male,Heroin4,  Female,  Male,Heroin AND Synthetic Opioids other than Methadone,  Female,  Male,Heroin WITHOUT Synthetic Opioids other than Methadone,  Female,  Male, Cocaine5,  Female,  Male, Cocaine AND Any Opioid,  Female,  Male, Cocaine WITHOUT Any Opioid,  Female,  Male, Cocaine AND Synthetic Opioids other than Methadone,  Female,  Male, Cocaine WITHOUT Synthetic Opioids other than Methadone,  Female,  Male, Psychostimulants With Abuse Potential (primarily methamphetamine)6,  Female,  Male, Psychostimulants With Abuse Potential AND Any Opioid,  Female,  Male, Psychostimulants With Abuse Potential WITHOUT Any Opioid,  Female,  Male, Psychostimulants With Abuse Potential AND Synthetic Opioids other than Methadone,  Female,  Male, Psychostimulants With Abuse Potential WITHOUT Synthetic Opioids other than Methadone,  Female,  Male, Benzodiazepines7,Female ,Male, Benzodiazepines AND Any Opioid,  Female,  Male, Benzodiazepines WITHOUT Any Opioid,  Female,  Male,Benzodiazepines AND Synthetic Opioids other than Methadone,  Female,  Male,Benzodiazepines WITHOUT Synthetic Opioids other than Methadone,  Female,  Male,Antidepressants8,Female ,Male,Antidepressants AND Any Opioid,  Female,  Male,Antidepressants WITHOUT Any Opioid,  Female,  Male,Antidepressants AND Synthetic Opioids other than Methadone,  Female,  Male,Antidepressants WITHOUT Synthetic Opioids other than Methadone,  Female,  Male
1999,16849.00 ,5591.00 ,11258.00 ,8050.00 ,2057.00 ,5993.00 ,3442.00 ,1022.00 ,2420.00 ,142.00 ,65.00 ,77.00 ,3300.00 ,957.00 ,2343.00 ,730.00 ,330.00 ,400.00 ,1960.00 ,306.00 ,1654.00 ,15.00 ,4.00 ,11.00 ,1945.00 ,302.00 ,1643.00 ,3822.00 ,850.00 ,2972.00 ,1964.00 ,399.00 ,1565.00 ,1858.00 ,451.00 ,1407.00 ,47.00 ,13.00 ,34.00 ,3775.00 ,837.00 ,2938.00 ,547.00 ,158.00 ,389.00 ,187.00 ,46.00 ,141.00 ,360.00 ,112.00 ,248.00 ,11.00 ,3.00 ,8.00 ,536.00 ,155.00 ,381.00 ,1135.00 ,420.00 ,715.00 ,701.00 ,233.00 ,468.00 ,434.00 ,187.00 ,247.00 ,122.00 ,51.00 ,71.00 ,1013.00 ,369.00 ,644.00 ,1749.00 ,926.00 ,823.00 ,611.00 ,312.00 ,299.00 ,1138.00 ,614.00 ,524.00 ,122.00 ,61.00 ,61.00 ,1627.00 ,865.00 ,762.00 
2000,17415.00 ,5852.00 ,11563.00 ,8407.00 ,2264.00 ,6143.00 ,3785.00 ,1236.00 ,2549.00 ,167.00 ,76.00 ,91.00 ,3618.00 ,1160.00 ,2458.00 ,782.00 ,374.00 ,408.00 ,1842.00 ,279.00 ,1563.00 ,18.00 ,7.00 ,11.00 ,1824.00 ,272.00 ,1552.00 ,3544.00 ,843.00 ,2701.00 ,1834.00 ,387.00 ,1447.00 ,1710.00 ,456.00 ,1254.00 ,46.00 ,13.00 ,33.00 ,3498.00 ,830.00 ,2668.00 ,578.00 ,164.00 ,414.00 ,202.00 ,49.00 ,153.00 ,376.00 ,115.00 ,261.00 ,7.00 ,3.00 ,4.00 ,571.00 ,161.00 ,410.00 ,1298.00 ,480.00 ,818.00 ,892.00 ,310.00 ,582.00 ,406.00 ,170.00 ,236.00 ,136.00 ,55.00 ,81.00 ,1162.00 ,425.00 ,737.00 ,1798.00 ,984.00 ,814.00 ,679.00 ,387.00 ,292.00 ,1119.00 ,597.00 ,522.00 ,123.00 ,77.00 ,46.00 ,1675.00 ,907.00 ,768.00 
2001,19394.00 ,6736.00 ,12658.00 ,9496.00 ,2767.00 ,6729.00 ,4770.00 ,1608.00 ,3162.00 ,199.00 ,86.00 ,113.00 ,4571.00 ,1522.00 ,3049.00 ,957.00 ,447.00 ,510.00 ,1779.00 ,313.00 ,1466.00 ,15.00 ,4.00 ,11.00 ,1764.00 ,309.00 ,1455.00 ,3833.00 ,957.00 ,2876.00 ,1886.00 ,453.00 ,1433.00 ,1947.00 ,504.00 ,1443.00 ,75.00 ,25.00 ,50.00 ,3758.00 ,932.00 ,2826.00 ,563.00 ,152.00 ,411.00 ,164.00 ,42.00 ,122.00 ,399.00 ,110.00 ,289.00 ,6.00 ,3.00 ,3.00 ,557.00 ,149.00 ,408.00 ,1594.00 ,614.00 ,980.00 ,1121.00 ,411.00 ,710.00 ,473.00 ,203.00 ,270.00 ,186.00 ,83.00 ,103.00 ,1408.00 ,531.00 ,877.00 ,2017.00 ,1009.00 ,1008.00 ,890.00 ,426.00 ,464.00 ,1127.00 ,583.00 ,544.00 ,147.00 ,79.00 ,68.00 ,1870.00 ,930.00 ,940.00 
2002,23518.00 ,8490.00 ,15028.00 ,11920.00 ,3760.00 ,8160.00 ,6483.00 ,2304.00 ,4179.00 ,322.00 ,157.00 ,165.00 ,6161.00 ,2147.00 ,4014.00 ,1295.00 ,614.00 ,681.00 ,2089.00 ,359.00 ,1730.00 ,15.00 ,5.00 ,10.00 ,2074.00 ,354.00 ,1720.00 ,4599.00 ,1143.00 ,3456.00 ,2318.00 ,560.00 ,1758.00 ,2281.00 ,583.00 ,1698.00 ,65.00 ,19.00 ,46.00 ,4534.00 ,1124.00 ,3410.00 ,941.00 ,285.00 ,656.00 ,325.00 ,114.00 ,211.00 ,616.00 ,171.00 ,445.00 ,19.00 ,12.00 ,7.00 ,922.00 ,273.00 ,649.00 ,2022.00 ,763.00 ,1259.00 ,1511.00 ,553.00 ,958.00 ,511.00 ,210.00 ,301.00 ,230.00 ,107.00 ,123.00 ,1792.00 ,656.00 ,1136.00 ,2370.00 ,1318.00 ,1052.00 ,1148.00 ,634.00 ,514.00 ,1222.00 ,684.00 ,538.00 ,238.00 ,154.00 ,84.00 ,2132.00 ,1164.00 ,968.00 
2003,25785.00 ,9386.00 ,16399.00 ,12940.00 ,4138.00 ,8802.00 ,7461.00 ,2681.00 ,4780.00 ,344.00 ,151.00 ,193.00 ,7117.00 ,2530.00 ,4587.00 ,1400.00 ,643.00 ,757.00 ,2080.00 ,358.00 ,1722.00 ,16.00 ,3.00 ,13.00 ,2064.00 ,355.00 ,1709.00 ,5199.00 ,1322.00 ,3877.00 ,2456.00 ,603.00 ,1853.00 ,2743.00 ,719.00 ,2024.00 ,109.00 ,44.00 ,65.00 ,5090.00 ,1278.00 ,3812.00 ,1179.00 ,353.00 ,826.00 ,359.00 ,119.00 ,240.00 ,820.00 ,234.00 ,586.00 ,28.00 ,14.00 ,14.00 ,1151.00 ,339.00 ,812.00 ,2248.00 ,885.00 ,1363.00 ,1692.00 ,620.00 ,1072.00 ,556.00 ,265.00 ,291.00 ,242.00 ,105.00 ,137.00 ,2006.00 ,780.00 ,1226.00 ,2512.00 ,1384.00 ,1128.00 ,1234.00 ,692.00 ,542.00 ,1278.00 ,692.00 ,586.00 ,230.00 ,139.00 ,91.00 ,2282.00 ,1245.00 ,1037.00 
2004,27424.00 ,10304.00 ,17120.00 ,13756.00 ,4643.00 ,9113.00 ,8577.00 ,3144.00 ,5433.00 ,384.00 ,184.00 ,200.00 ,8193.00 ,2960.00 ,5233.00 ,1664.00 ,798.00 ,866.00 ,1878.00 ,341.00 ,1537.00 ,13.00 ,6.00 ,7.00 ,1865.00 ,335.00 ,1530.00 ,5443.00 ,1405.00 ,4038.00 ,2522.00 ,634.00 ,1888.00 ,2921.00 ,771.00 ,2150.00 ,130.00 ,41.00 ,89.00 ,5313.00 ,1364.00 ,3949.00 ,1305.00 ,393.00 ,912.00 ,407.00 ,128.00 ,279.00 ,898.00 ,265.00 ,633.00 ,29.00 ,12.00 ,17.00 ,1276.00 ,381.00 ,895.00 ,2627.00 ,1079.00 ,1548.00 ,2049.00 ,797.00 ,1252.00 ,578.00 ,282.00 ,296.00 ,270.00 ,128.00 ,142.00 ,2357.00 ,951.00 ,1406.00 ,2758.00 ,1549.00 ,1209.00 ,1379.00 ,762.00 ,617.00 ,1379.00 ,787.00 ,592.00 ,264.00 ,164.00 ,100.00 ,2494.00 ,1385.00 ,1109.00 
2005,29813.00 ,11089.00 ,18724.00 ,14918.00 ,5161.00 ,9757.00 ,9612.00 ,3572.00 ,6040.00 ,426.00 ,207.00 ,219.00 ,9186.00 ,3365.00 ,5821.00 ,1742.00 ,823.00 ,919.00 ,2009.00 ,389.00 ,1620.00 ,34.00 ,9.00 ,25.00 ,1975.00 ,380.00 ,1595.00 ,6208.00 ,1620.00 ,4588.00 ,2842.00 ,737.00 ,2105.00 ,3366.00 ,883.00 ,2483.00 ,174.00 ,62.00 ,112.00 ,6034.00 ,1558.00 ,4476.00 ,1608.00 ,438.00 ,1170.00 ,476.00 ,145.00 ,331.00 ,1132.00 ,293.00 ,839.00 ,33.00 ,13.00 ,20.00 ,1575.00 ,425.00 ,1150.00 ,3084.00 ,1209.00 ,1875.00 ,2430.00 ,922.00 ,1508.00 ,654.00 ,287.00 ,367.00 ,312.00 ,150.00 ,162.00 ,2772.00 ,1059.00 ,1713.00 ,2861.00 ,1575.00 ,1286.00 ,1508.00 ,806.00 ,702.00 ,1353.00 ,769.00 ,584.00 ,278.00 ,159.00 ,119.00 ,2583.00 ,1416.00 ,1167.00 
2006,34425.00 ,12532.00 ,21893.00 ,17545.00 ,5945.00 ,11600.00 ,11589.00 ,4274.00 ,7315.00 ,573.00 ,246.00 ,327.00 ,11016.00 ,4028.00 ,6988.00 ,2707.00 ,1030.00 ,1677.00 ,2088.00 ,344.00 ,1744.00 ,113.00 ,25.00 ,88.00 ,1975.00 ,319.00 ,1656.00 ,7448.00 ,1860.00 ,5588.00 ,3372.00 ,845.00 ,2527.00 ,4076.00 ,1015.00 ,3061.00 ,432.00 ,109.00 ,323.00 ,7016.00 ,1751.00 ,5265.00 ,1462.00 ,411.00 ,1051.00 ,526.00 ,170.00 ,356.00 ,936.00 ,241.00 ,695.00 ,37.00 ,16.00 ,21.00 ,1425.00 ,395.00 ,1030.00 ,3835.00 ,1472.00 ,2363.00 ,3045.00 ,1137.00 ,1908.00 ,790.00 ,335.00 ,455.00 ,407.00 ,165.00 ,242.00 ,3428.00 ,1307.00 ,2121.00 ,3133.00 ,1819.00 ,1314.00 ,1662.00 ,946.00 ,716.00 ,1471.00 ,873.00 ,598.00 ,300.00 ,176.00 ,124.00 ,2833.00 ,1643.00 ,1190.00 
2007,36010.00 ,13712.00 ,22298.00 ,18516.00 ,6581.00 ,11935.00 ,12796.00 ,4863.00 ,7933.00 ,601.00 ,286.00 ,315.00 ,12195.00 ,4577.00 ,7618.00 ,2213.00 ,1053.00 ,1160.00 ,2399.00 ,399.00 ,2000.00 ,13.00 ,3.00 ,10.00 ,2386.00 ,396.00 ,1990.00 ,6512.00 ,1665.00 ,4847.00 ,3027.00 ,784.00 ,2243.00 ,3485.00 ,881.00 ,2604.00 ,219.00 ,63.00 ,156.00 ,6293.00 ,1602.00 ,4691.00 ,1378.00 ,409.00 ,969.00 ,473.00 ,150.00 ,323.00 ,905.00 ,259.00 ,646.00 ,35.00 ,17.00 ,18.00 ,1343.00 ,392.00 ,951.00 ,4500.00 ,1894.00 ,2606.00 ,3605.00 ,1473.00 ,2132.00 ,895.00 ,421.00 ,474.00 ,436.00 ,224.00 ,212.00 ,4064.00 ,1670.00 ,2394.00 ,3425.00 ,1958.00 ,1467.00 ,1901.00 ,1094.00 ,807.00 ,1524.00 ,864.00 ,660.00 ,292.00 ,203.00 ,89.00 ,3133.00 ,1755.00 ,1378.00 
2008,36450.00 ,13982.00 ,22468.00 ,19582.00 ,6819.00 ,12763.00 ,13149.00 ,4959.00 ,8190.00 ,655.00 ,309.00 ,346.00 ,12494.00 ,4650.00 ,7844.00 ,2306.00 ,1083.00 ,1223.00 ,3041.00 ,551.00 ,2490.00 ,28.00 ,13.00 ,15.00 ,3013.00 ,538.00 ,2475.00 ,5129.00 ,1322.00 ,3807.00 ,2656.00 ,695.00 ,1961.00 ,2473.00 ,627.00 ,1846.00 ,182.00 ,59.00 ,123.00 ,4947.00 ,1263.00 ,3684.00 ,1302.00 ,375.00 ,927.00 ,495.00 ,151.00 ,344.00 ,807.00 ,224.00 ,583.00 ,47.00 ,19.00 ,28.00 ,1255.00 ,356.00 ,899.00 ,5010.00 ,2046.00 ,2964.00 ,4070.00 ,1618.00 ,2452.00 ,940.00 ,428.00 ,512.00 ,491.00 ,250.00 ,241.00 ,4519.00 ,1796.00 ,2723.00 ,3610.00 ,2047.00 ,1563.00 ,2111.00 ,1199.00 ,912.00 ,1499.00 ,848.00 ,651.00 ,384.00 ,248.00 ,136.00 ,3226.00 ,1799.00 ,1427.00 
